Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-06-29,2011,2011Q2,6,June,Jun 2011,29,Wednesday,False
2011-06-30,2011,2011Q2,6,June,Jun 2011,30,Thursday,False
2011-07-01,2011,2011Q3,7,July,Jul 2011,1,Friday,False
2011-07-02,2011,2011Q3,7,July,Jul 2011,2,Saturday,True
2011-07-03,2011,2011Q3,7,July,Jul 2011,3,Sunday,True
2011-07-04,2011,2011Q3,7,July,Jul 2011,4,Monday,False
2011-07-05,2011,2011Q3,7,July,Jul 2011,5,Tuesday,False
2011-07-06,2011,2011Q3,7,July,Jul 2011,6,Wednesday,False
2011-07-07,2011,2011Q3,7,July,Jul 2011,7,Thursday,False
2011-07-08,2011,2011Q3,7,July,Jul 2011,8,Friday,False
2011-07-09,2011,2011Q3,7,July,Jul 2011,9,Saturday,True
2011-07-10,2011,2011Q3,7,July,Jul 2011,10,Sunday,True
2011-07-11,2011,2011Q3,7,July,Jul 2011,11,Monday,False
2011-07-12,2011,2011Q3,7,July,Jul 2011,12,Tuesday,False
2011-07-13,2011,2011Q3,7,July,Jul 2011,13,Wednesday,False
2011-07-14,2011,2011Q3,7,July,Jul 2011,14,Thursday,False
2011-07-15,2011,2011Q3,7,July,Jul 2011,15,Friday,False
2011-07-16,2011,2011Q3,7,July,Jul 2011,16,Saturday,True
2011-07-17,2011,2011Q3,7,July,Jul 2011,17,Sunday,True
2011-07-18,2011,2011Q3,7,July,Jul 2011,18,Monday,False
2011-07-19,2011,2011Q3,7,July,Jul 2011,19,Tuesday,False
2011-07-20,2011,2011Q3,7,July,Jul 2011,20,Wednesday,False
2011-07-21,2011,2011Q3,7,July,Jul 2011,21,Thursday,False
2011-07-22,2011,2011Q3,7,July,Jul 2011,22,Friday,False
2011-07-23,2011,2011Q3,7,July,Jul 2011,23,Saturday,True
2011-07-24,2011,2011Q3,7,July,Jul 2011,24,Sunday,True
2011-07-25,2011,2011Q3,7,July,Jul 2011,25,Monday,False
2011-07-26,2011,2011Q3,7,July,Jul 2011,26,Tuesday,False
2011-07-27,2011,2011Q3,7,July,Jul 2011,27,Wednesday,False
2011-07-28,2011,2011Q3,7,July,Jul 2011,28,Thursday,False
2011-07-29,2011,2011Q3,7,July,Jul 2011,29,Friday,False
2011-07-30,2011,2011Q3,7,July,Jul 2011,30,Saturday,True
2011-07-31,2011,2011Q3,7,July,Jul 2011,31,Sunday,True
2011-08-01,2011,2011Q3,8,August,Aug 2011,1,Monday,False
